rank,word,text,year
97,public,"Feeling unsafe in public can fundamentally erode one's sense of well-being and reduce trust and community engagement, becoming an obstacle to development.",2022
98,last,"Worldwide, the proportion of people held in detention without being sentenced for a crime decreased only slightly over the last decade—from 32 per cent of total detainees in 2003-2005 to 30 per cent in 2012-2014.",2016
98,2013,"Globally, the proportion of people held in detention without being tried or sentenced for a crime has remained almost unchanged—from 32 per cent of total prisoners in 2003-2005 to 31 per cent in 2013-2015.",2017
98,used,"In 2015, 5.2 billion people (71 per cent of the global population) used safely managed drinking water services—that is, an improved water source located on premises, available when needed and free from contamination.",2018
98,coverage,"Many countries and regions have reached universal or near universal coverage, but in sub-Saharan Africa, fewer than half (46 per cent) of all children under 5 years of age are registered.",2019
98,human,"In March 2020, the Secretary-General launched an appeal for an immediate global ceasefire to aid in the delivery of humanitarian assistance and open channels for diplomacy, in particular for those most vulnerable to COVID-19.",2020
98,while,"Girls are primarily victims of sexual exploitation (72 per cent of detected girl victims), while boys are mainly subjected to forced labour (66 per cent of detected boy victims).",2021
98,can,"Feeling unsafe in public can fundamentally erode one's sense of well-being and reduce trust and community engagement, becoming an obstacle to development.",2022
99,total,"Worldwide, the proportion of people held in detention without being sentenced for a crime decreased only slightly over the last decade—from 32 per cent of total detainees in 2003-2005 to 30 per cent in 2012-2014.",2016
99,period,"Global temperatures continued to increase in 2016, setting a new record of about 1.1 degrees Celsius above the pre-industrial period.",2017
99,estimated,"Using the World Bank’s harmonized classification of fragile states, an estimated 484 million people worldwide lived in fragile situations in 2015.",2018
99,school,"Coverage by the second dose (MCV2), given during the second year of a child’s life or upon school-entry age, increased from 15 per cent in 2000 to 59 per cent in 2015 and 67 per cent in 2017.",2019
99,labour,"Nearly eight in ten children from 1 to 14 years of age were subjected to some form of psychological aggression and/or physical punishment at home in the previous month in 69 (mostly low- and middle-income) countries with available data from 2012 to 2019.Trafficking of children is a global problem, mostly associated with sexual exploitation, but also forced labour.",2020
99,age,"Perpetrators engaged in this criminal activity target the marginalized and impoverished, including children.",2021
99,employment,"Almost half a billion people depend at least partially on small-scale fisheries, which account for 90 per cent of employment in fisheries worldwide.",2022
100,higher,The figure for developing regions has on average been higher than that for developed regions.,2016
100,reduction,The data suggest that an increased focus on disaster risk reduction is a prudent investment for saving lives.,2017
100,worldwide,"Using the World Bank’s harmonized classification of fragile states, an estimated 484 million people worldwide lived in fragile situations in 2015.",2018
100,material,Urgent action is needed to ensure that current material needs do not lead to over-extraction of resources and further degradation of the environment.,2019
100,care,"Overcrowding is accelerating the spread of COVID-19 across jails and prisons worldwide due to cramped quarters, and the frequent lack of protective gear and access to adequate health care.",2020
100,out,"At the end of 2020, about 1 per cent of the global population – 82.4 million people – had been forcibly displaced as a result of persecution, conflict or generalized violence.",2021
100,urban,"Yet, participation was highly unequal: among countries with available data, disparities in attendance were found based on gender (39 per cent), urban or rural location (76 per cent) and household wealth (86 per cent).",2022
